14:12:02:285 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:12:02:285 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:12:02:288 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:12:02:288 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:12:02:291 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:12:02:291 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:12:02:294 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:12:02:294 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:12:02:297 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:12:02:297 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:12:02:299 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:12:02:299 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:12:02:302 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:12:02:302 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:12:02:304 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:12:02:304 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
14:12:02:315 [ERROR]	WinHTTP Secure failure. SECURITY_CHANNEL_ERROR.
14:12:02:316 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, SECURITY_CHANNEL_ERROR. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
